8,1,7,11,10,2139,0,1,19:03-15/06
1,7,6,22,24,3936,1,1,18:03-15/06
0,4,7,15,13,2450,0,0,1:03-15/06
4,5,1,16,11,2405,1,0,12:03-15/06
5,7,5,24,21,3949,1,1,11:03-15/06
8,6,7,21,16,2917,0,1,13:03-15/06
6,2,7,12,12,2276,0,1,14:03-15/06
1,7,1,11,12,2380,1,0,18:03-15/06
4,2,6,5,3,791,0,0,20:03-15/06
3,4,6,13,13,2500,0,0,21:03-15/06
7,7,0,15,15,2378,1,1,22:03-15/06
2,2,7,8,8,1512,0,0,19:21-15/06
6,5,0,11,11,1642,1,1,22:03-15/06
10,7,6,22,22,3723,1,1,21:03-15/06
1,7,1,15,17,2645,1,1,22:03-15/06
0,4,2,10,8,1642,1,1,23:03-15/06
5,1,0,2,2,360,1,0,19:23-15/06
6,6,7,25,24,4252,0,1,19:34-15/06
8,5,7,20,15,3038,0,1,19:45-15/06
8,4,7,13,11,1900,0,0,19:23-15/06
7,3,7,9,7,1727,0,0,19:22-15/06
3,7,6,19,14,3630,1,0,19:21-15/06
2,4,7,11,9,2018,0,0,19:24-15/06
4,6,7,24,22,5061,0,1,19:44-15/06
10,7,6,25,27,4544,1,1,19:33-15/06
9,7,6,19,17,2926,1,1,19:53-15/06
3,7,1,16,16,2297,1,1,21:43-15/06
3,7,2,18,11,2464,1,0,22:01-15/06
8,7,2,11,9,2295,1,0,22:24-15/06
10,6,0,14,8,1695,1,1,22:40-15/06
7,7,3,17,12,2134,1,1,23:01-15/06
5,7,4,18,12,2480,1,1,23:23-15/06
9,6,7,15,18,3372,0,0,03:15-16/06
9,7,4,16,12,1826,1,0,14:55-16/06
5,1,0,3,1,349,1,0,15:02-16/06
8,7,3,13,13,2380,1,1,15:34-16/06
2,7,2,25,25,3881,1,1,15:52-16/06
3,1,7,6,6,1950,0,0,16:08-16/06
1,7,4,19,17,2920,1,1,16:33-16/06
0,5,0,14,12,2017,1,1,16:44-16/06
6,4,7,15,12,2802,0,0,17:09-16/06
10,7,5,18,14,3220,1,1,17:37-16/06
9,3,1,5,4,875,1,0,17:59-16/06
4,5,7,17,14,2918,0,1,18:25-16/06
5,5,7,21,19,3377,0,1,18:51-16/06
7,7,5,28,27,5438,1,1,19:16-16/06
3,4,7,17,16,3037,0,0,19:36-16/06
9,7,5,19,19,3490,1,0,20:38-16/06
4,1,7,2,3,960,0,0,21:28-16/06
6,3,7,13,16,3035,0,0,21:47-16/06
2,7,1,14,12,1821,1,0,22:04-16/06
4,7,4,17,18,3078,1,1,22:58-16/06
0,7,5,22,21,3755,1,1,23:50-16/06
6,7,6,25,25,4218,1,1,00:18-17/06
10,6,0,14,7,1430,1,0,00:28-17/06
7,6,3,17,18,2833,1,0,00:58-17/06
3,4,7,17,14,2333,0,0,02:37-17/06
0,7,5,20,20,3425,1,1,03:03-17/06
7,3,7,13,11,2083,0,0,03:23-17/06
6,7,5,19,13,2633,1,1,16:55-17/06
1,7,5,15,8,2078,1,0,17:19-17/06
8,7,6,17,16,3155,1,0,17:48-17/06
0,1,7,3,3,1296,0,0,18:06-17/06
10,7,3,19,14,3068,1,1,18:28-17/06
5,6,1,7,4,1193,1,0,19:31-17/06
5,7,5,21,17,3516,1,1,00:47-18/06
8,7,4,13,10,1748,1,0,01:07-18/06
0,1,7,6,11,1760,0,0,01:24-18/06
6,7,6,18,15,2816,1,0,01:51-18/06
2,7,4,23,17,3457,1,1,02:12-18/06
10,0,7,2,3,1002,0,0,02:29-18/06
1,2,7,7,7,1822,0,0,02:53-18/06
3,6,4,20,16,2683,1,0,03:17-18/06
7,1,7,5,6,1102,0,0,03:35-18/06
9,6,7,21,17,3126,0,1,04:00-18/06
4,5,7,22,19,3478,0,1,04:25-18/06
0,7,2,20,18,2842,1,1,03:17-19/06
0,3,7,14,14,2483,0,0,03:39-19/06
6,6,7,21,17,4057,0,1,04:12-19/06
0,7,2,16,11,2058,1,1,16:35-19/06
5,7,2,18,18,3205,1,1,16:58-19/06
10,7,3,17,15,3040,1,1,17:22-19/06
6,7,3,17,18,3041,1,0,17:42-19/06
3,7,3,15,14,2499,1,1,18:04-19/06
9,3,7,14,15,2606,0,0,02:30-20/06
2,7,1,21,18,3139,1,1,02:46-20/06
8,4,0,10,8,1316,1,1,18:19-20/06
6,7,4,11,10,1889,1,0,18:41-20/06
9,1,7,9,11,1436,0,0,18:57-20/06
0,7,1,18,14,2326,1,1,00:22-21/06
6,2,7,4,11,1802,0,0,00:40-21/06
1,3,7,12,12,2821,0,0,01:01-21/06
8,7,3,26,21,3585,1,1,18:09-22/06
4,7,1,22,20,3726,1,1,18:24-22/06
0,3,7,11,13,2361,0,0,19:05-22/06
3,7,5,21,20,3626,1,1,00:18-23/06
6,7,4,16,17,3112,1,0,00:43-23/06
